Random;PHR
R1;54.56698291
R1;54.56769212
R2;67.06734371
R1;54.55904852
R3;45.58889401
R3;45.59858469
R1;54.55624677
R2;67.07340617
R2;67.06165906
R1;54.57112728
R1;54.56473774
R2;67.05280607
R1;54.56071779
R2;67.08799953
R1;54.5440368
R1;54.54852141
R1;54.56815102
R1;54.56726156
R2;67.06720295
R3;45.60296886
R2;67.07172898
R1;54.56653657
R2;67.07358405
R3;45.61495059
R3;45.59107041
R2;67.04904297
R3;45.59604187
R3;45.60009016
R2;67.07163645
R2;67.06928061
R2;67.06761638
R3;45.59294912
R2;67.06521602
R3;45.59465812
R2;67.06915753
R2;67.06858802
R2;67.07226725
R2;67.07754644
R2;67.07706197
R3;45.60214697
R3;45.59873911
R1;54.56487122
R2;67.06861998
R1;54.56297867
R1;54.5773079
R1;54.55176641
R2;67.07178902
R3;45.59869935
R1;54.55290238
R3;45.59970102
R3;45.59165157
R2;67.06558207
R3;45.60844387
R1;54.5330143
R1;54.54560725
R1;54.56917606
R1;54.56216834
R2;67.06414274
R2;67.06610986
R3;45.61432327
R3;45.61198538
R2;67.06231304
R1;54.56148108
R2;67.08057189
R3;45.58983629
R2;67.07324033
R2;67.05719815
R1;54.56682422
R1;54.55036692
R3;45.60019588
R2;67.07177711
R1;54.55794544
R2;67.06575295
R3;45.59302779
R2;67.07155251
R1;54.54652601
R2;67.0746876
R3;45.60129974
R2;67.07874918
R1;54.56026922
R2;67.06963249
R1;54.55879141
R3;45.61288318
R2;67.06676034
R1;54.54506898
R3;45.60922208
R2;67.0457713
R3;45.6014851
R1;54.56774859
R3;45.59482653
R2;67.06139269
R1;54.58147294
R3;45.59160526
R2;67.06571498
R1;54.56051918
R2;67.06766567
R1;54.55469927
R1;54.56770092
R1;54.57865156
R3;45.59081617
R2;67.06578239
R1;54.57048728
R3;45.59384548
R1;54.55724608
R1;54.55792723
R3;45.61088656
R2;67.06878867
R3;45.59354663
R3;45.59206994
R3;45.60754619
R1;54.57318388
R1;54.57374655
R1;54.55893665
R3;45.61532284
R1;54.56914199
R2;67.06873989
R2;67.05951948
R1;54.53804415
R2;67.06096822
R1;54.5616859
R2;67.05541889
R3;45.59835398
R1;54.55069804
R3;45.58245463
R2;67.08474274
R3;45.61234273
R3;45.59914597
R1;54.5371056
R2;67.0699981
R3;45.59093945
R3;45.6028989
R3;45.57782179
R3;45.60603859
R2;67.07241169
R3;45.60169518
R1;54.56984099
R2;67.05333377
R2;67.06773998
R1;54.54716236
R3;45.58738309
R2;67.07435409
R2;67.07408591
R3;45.60063016
R3;45.60390467
R1;54.54989343
R3;45.6110899
R1;54.57581793
R1;54.56737676
R1;54.53618574
R1;54.54978023
R2;67.05931745
R3;45.58953891
R3;45.59932375
R3;45.60651334
R3;45.59200418
R2;67.05967134
R1;54.54709837
R2;67.07783061
R2;67.07907091
R1;54.57545935
R3;45.61285368
R3;45.58619473
R2;67.0747633
R2;67.05217947
R2;67.06537579
R1;54.5788046
R3;45.60607535
R1;54.55236009
R2;67.07029909
R2;67.07071012
R3;45.60909833
R3;45.60830242
R3;45.58524142
R3;45.5914499
R1;54.56484549
R1;54.56349722
R3;45.61136791
R3;45.61593329
R1;54.55037673
R1;54.56273016
R1;54.57433558
R1;54.56704685
R2;67.07697003
R2;67.04385501
R3;45.6109403
R1;54.55111759
R3;45.60495648
R1;54.55521315
R1;54.57341826
R1;54.56076471
R2;67.07373187
R1;54.55587172
R2;67.04301108
R1;54.57713446
R3;45.59370926
R2;67.05442546
R2;67.06968963
R1;54.57012234
R2;67.07347935
R2;67.06721726
R2;67.07227243
R3;45.59098517
R1;54.56312267
R1;54.55660495
R1;54.55675683
R3;45.6251145
R1;54.56091467
R3;45.58929268
R3;45.61113668
R3;45.59504308
R2;67.07810289
R3;45.61302319
R3;45.59959866
R1;54.55589304
R2;67.06090991
R3;45.60683913
R1;54.56370568
R3;45.59007374
R3;45.59168553
R3;45.58976933
R3;45.59397136
R3;45.59254209
R3;45.60485155
R3;45.6002027
R2;67.08974204
R1;54.56289447
R3;45.61252812
R1;54.5864711
R2;67.06680205
R1;54.55007953
R2;67.0887246
R1;54.55460032
R1;54.56676287
R1;54.56772298
R2;67.05666831
R2;67.06767897
R1;54.55543614
R2;67.07893193
R2;67.05784623
R3;45.59376393
R3;45.61528607
R3;45.58836453
R1;54.57702865
R2;67.06718746
R3;45.61164304
R1;54.57732832
R3;45.60370818
R2;67.07092961
R2;67.07403661
R1;54.57127931
R2;67.08819528
R3;45.59485691
R1;54.55622845
R1;54.56483426
R3;45.60131864
R2;67.07764364
R1;54.54020712
R3;45.60204334
R3;45.59404699
R3;45.58454311
R3;45.58127132
R3;45.61289837
R2;67.08293419
R3;45.60499662
R2;67.06106114
R1;54.54709114
R1;54.55948701
R3;45.60102002
R1;54.56825237
R1;54.56844411
R2;67.06226248
R1;54.56508751
R1;54.58108882
R1;54.55719997
R2;67.06435359
R1;54.55981641
R1;54.55466829
R3;45.59098987
R3;45.59822192
R2;67.05929719
R3;45.6051226
R3;45.61527971
R1;54.56121175
R3;45.60719487
R3;45.60213439
R2;67.07245931
R3;45.59876362
R3;45.60059112
R3;45.63428111
R3;45.58556613
R3;45.60549126
R2;67.05826689
R1;54.55567501
R3;45.60189593
R2;67.08260917
R3;45.59766947
R1;54.53919147
R2;67.07287635
R1;54.5612022
R2;67.07978006
R1;54.56541004
R2;67.08043759
R2;67.05528232
R1;54.58849592
